CNV	freq	event_N
chr1_.3	0.858407079646018	291
chr1_.4	0.858407079646018	291
chr1_.11	0.952802359882006	323
chr1_.15	0.952802359882006	323
chr1_.17	0.858407079646018	291
chr1_.19	0.952802359882006	323
chr1_.22	0.952802359882006	323
chr1_.26	0.023598820058997	8
chr1_.27	0.952802359882006	323
chr1_.30	0.976401179941003	331
chr1_.35	0.893805309734513	303
chr1_.40	0.893805309734513	303
chr1_.50	0.858407079646018	291
chr1_.51	0.0943952802359882	32
chr1_.56	0.0471976401179941	16
chr1_.58	0.858407079646018	291
chr1_.60	1	339
chr1_.62	0.976401179941003	331
chr1_.65	0.811209439528024	275
chr1_.68	0.811209439528024	275
chr1_.84	0.811209439528024	275
chr1_.87	0.811209439528024	275
chr1_.92	0.926253687315634	314
chr1_.97	0.926253687315634	314
chr1_.122	0.811209439528024	275
chr1_.124	0.811209439528024	275
chr1_.134	0.893805309734513	303
chr1_.136	0.893805309734513	303
chr1_.139	0.997050147492625	338
chr1_.140	0.976401179941003	331
chr1_.142	0.997050147492625	338
chr1_.146	0.858407079646018	291
chr1_.148	0.858407079646018	291
chr1_.149	0.138643067846608	47
chr1_.152	0.858407079646018	291
chr1_.156	0.997050147492625	338
chr1_.161	0.997050147492625	338
chr1_.165	0.997050147492625	338
chr1_.170	0.976401179941003	331
chr1_.175	0.976401179941003	331
chr1_.177	0.997050147492625	338
chr1_.180	0.997050147492625	338
chr1_.183	0.926253687315634	314
chr1_.185	0.926253687315634	314
chr1_.187	0.0678466076696165	23
chr1_.188	0.858407079646018	291
chr1_.190	0.858407079646018	291
chr1_.195	0.926253687315634	314
chr1_.196	0.926253687315634	314
chr1_.217	0.976401179941003	331
chr1_.221	0.976401179941003	331
chr1_.222	0.023598820058997	8
chr1_.225	0.997050147492625	338
chr1_.228	0.997050147492625	338
chr1_.230	0.858407079646018	291
chr1_.234	0.0353982300884956	12
chr1_.236	0.0589970501474926	20
chr1_.239	0.952802359882006	323
chr1_.244	0.952802359882006	323
chr1_.247	0.952802359882006	323
chr1_.251	0.811209439528024	275
chr1_.253	1	339
chr1_.259	0.811209439528024	275
chr1_.262	0.952802359882006	323
chr1_.265	0.952802359882006	323
chr1_.266	0.952802359882006	323
chr1_.273	0.952802359882006	323
chr1_.277	0.952802359882006	323
chr1_.284	0.952802359882006	323
chr1_.292	0.952802359882006	323
chr1_.293	0.952802359882006	323
chr1_.296	0.858407079646018	291
chr1_.300	0.0353982300884956	12
chr1_.306	0.0353982300884956	12
chr1_.307	0.858407079646018	291
chr1_.309	0.976401179941003	331
chr1_.311	1	339
chr1_.319	0.976401179941003	331
chr1_.321	0.0501474926253687	17
chr1_.325	1	339
chr1_.327	0.106194690265487	36
chr1_.329	0.861356932153392	292
chr1_.332	1	339
chr1_.335	0.926253687315634	314
chr1_.337	0.926253687315634	314
chr1_.347	0.858407079646018	291
chr1_.353	0.0471976401179941	16
chr1_.357	0.188790560471976	64
chr1_.364	0.141592920353982	48
chr1_.365	0.858407079646018	291
chr1_.374	0.811209439528024	275
chr1_.376	0.811209439528024	275
chr1_.377	0.997050147492625	338
chr1_.378	0.811209439528024	275
chr1_.379	0.997050147492625	338
chr1_.380	0.811209439528024	275
chr1_.381	0.997050147492625	338
chr1_.383	0.997050147492625	338
chr1_.385	0.811209439528024	275
chr1_.386	0.141592920353982	48
chr1_.387	0.023598820058997	8
chr1_.390	1	339
chr1_.392	1	339
chr1_.393	0.858407079646018	291
chr1_.395	0.858407079646018	291
chr1_.399	0.858407079646018	291
chr1_.400	0.0353982300884956	12
chr1_.402	0.0353982300884956	12
chr1_.403	0.858407079646018	291
chr1_.407	0.843657817109145	286
chr1_.408	0.811209439528024	275
chr1_.409	0.893805309734513	303
chr1_.410	0.926253687315634	314
chr1_.414	0.926253687315634	314
chr1_.419	0.893805309734513	303
chr1_.421	0.893805309734513	303
chr1_.426	0.997050147492625	338
chr1_.429	0.997050147492625	338
chr1_.433	0.926253687315634	314
chr1_.437	0.976401179941003	331
chr1_.439	0.0206489675516224	7
chr1_.445	0.997050147492625	338
chr1_.447	0.811209439528024	275
chr1_.449	0.811209439528024	275
chr1_.454	0.952802359882006	323
chr1_.456	1	339
chr1_.458	0.997050147492625	338
chr1_.460	1	339
chr1_.462	0.997050147492625	338
chr1_.465	0.952802359882006	323
chr1_.467	0.185840707964602	63
chr1_.468	0.952802359882006	323
chr1_.469	0.997050147492625	338
chr1_.472	0.811209439528024	275
chr1_.473	0.997050147492625	338
chr1_.475	0.997050147492625	338
chr1_.477	0.0678466076696165	23
chr1_.485	0.858407079646018	291
chr1_.491	0.858407079646018	291
chr1_.500	1	339
